학교명,학생수,학급명,참여시간,대상,1교시,2교시,3교시,4교시,5교시,6교시,7교시,8교시,,,
은산초 4학년 2팀,4,1반-2,오전,초4,기초관 - 4실,미래관 - 2실,엄마사랑 분식 천국,행복관 - 2실,,,,,,,
은산초 4학년 3팀,3,1반-3,오전,초4,기초관 - 5실,엄마사랑 분식 천국,미래관 - 2실,행복관 - 2실,,,,,,,
임천초,5,1반-1,오전,초3,온수업관 - 1실,놀이터 - 7실,엄마사랑 분식 천국,미래관 - 1실,,,,,,,
임천초,5,1반-2,오전,초3,놀이터 - 4실,놀이터 - 8실,미래관 - 2실,엄마사랑 분식 천국,,,,,,,
임천초,3,1반-1,오전,초5,엄마사랑 분식 천국,미래관 - 3실,온수업관 - 3실,놀이터 - 5실,,,,,,,
임천초,5,1반-2,오전,초5,미래관 - 4실,엄마사랑 분식 천국,놀이터 - 6실,온수업관 - 3실,,,,,,,
임천초,5,1반-3,오전,초5,미래관 - 5실,엄마사랑 분식 천국,중점관 - 3실,놀이터 - 8실,,,,,,,
초촌초,5,2-1,오전,초2,놀이터 - 3실,기초관 - 3실,놀이터 - 5실,엄마사랑 분식 천국,,,,,,,
초촌초,3,김강정,오전,초5,엄마사랑 분식 천국,미래관 - 7실,놀이터 - 5실,미래관 - 2실,,,,,,,
초촌초,4,1반-1,오전,초4,행복관 - 5실,엄마사랑 분식 천국,온수업관 - 3실,놀이터 - 7실,,,,,,,
초촌초,2,1반-2,오전,초4,행복관 - 5실,엄마사랑 분식 천국,기초관 - 1실,온수업관 - 6실,,,,,,,
초촌초,2,1반,오전,초3,행복관 - 4실,미래관 - 7실,기초관 - 2실,엄마사랑 분식 천국,,,,,,,
초촌초,1,1-1,오전,초1,엄마사랑 분식 천국,놀이터 - 7실,중점관 - 2실,기초관 - 3실,,,,,,,
초촌초병설유,3,행복한반,오전,유치원,온수업관 - 2실,행복관 - 3실,엄마사랑 분식 천국,놀이터 - 7실,,,,,,,
충화초,1,1반,오후,초1,,,,,행복관 - 3실,온수업관 - 2실,중점관 - 3실,x,,,
충화초,2,1반,오후,초4,,,,,기초관 - 3실,행복관 - 2실,온수업관 - 1실,x,,,
충화초,2,1반,오후,초3,,,,,기초관 - 1실,행복관 - 2실,중점관 - 3실,x,,,
충화초,2,1반,오후,초5,,,,,기초관 - 6실,미래관 - 7실,행복관 - 4실,x,,,
충화초,5,1반,오후,초6,,,,,행복관 - 3실,미래관 - 7실,중점관 - 4실,x,,,
충화초병설유,2,사랑반-1,오후,유치원,,,,,행복관 - 3실,온수업관 - 2실,x,x,,,
합송초,2,해당 없음,오후,초6,,,,,기초관 - 1실,행복관 - 3실,행복관 - 4실,행복관 - 1실,,,
홍산중,5,1반-1,오후,중1,,,,,엄마사랑 분식 천국,기초관 - 1실,행복관 - 2실,미래관 - 1실,,,
홍산중,5,1반-2,오후,중1,,,,,온수업관 - 1실,미래관 - 1실,놀이터 - 1실,기초관 - 1실,,,
홍산중,3,1반-3,오후,중1,,,,,행복관 - 5실,미래관 - 1실,온수업관 - 6실,기초관 - 1실,,,
홍산중,5,2반-1,오후,중2,,,,,엄마사랑 분식 천국,기초관 - 5실,놀이터 - 1실,온수업관 - 5,,,
홍산중,5,1반-1,오후,중2,,,,,엄마사랑 분식 천국,미래관 - 5실,미래관 - 6실,행복관 - 5실,,,
홍산중,5,1반-2,오후,중2,,,,,엄마사랑 분식 천국,행복관 - 6실,미래관 - 5실,미래관 - 6실,,,
홍산중,5,1반-3,오후,중2,,,,,엄마사랑 분식 천국,온수업관 - 6실,행복관 - 6,미래관 - 5실,,,
홍산중,5,1반-1,오후,중3,,,,,엄마사랑 분식 천국,미래관 - 2실,중점관 - 2실,온수업관 - 6실,,,
홍산중,5,1반-2,오후,중3,,,,,엄마사랑 분식 천국,중점관 - 4실,행복관 - 1실,온수업관 - 1실,,,
홍산중,3,1반-3,오후,중3,,,,,엄마사랑 분식 천국,행복관 - 5실,놀이터 - 3실,미래관 - 3실,,,
홍산중 ,5,1반-2,오후,중3,,,,,,,,,,,
홍산초,5,2학년 1반-1,오후,초2,,,,,놀이터 - 3실,놀이터 - 7실,x,x,,,
홍산초,4,2학년 1반-2,오후,초2,,,,,놀이터 - 3실,놀이터 - 7실,x,x,,,
홍산초,5,5학년-1,오후,초5,,,,,행복관 - 2실,행복관 - 1실,x,x,,,
홍산초,5,5학년-2,오후,초5,,,,,기초관 - 4실,행복관 - 1실,x,x,,,
홍산초,4,5학년-3,오후,초5,,,,,기초관 - 2실,행복관 - 2실,x,x,,,
홍산초,5,6별반-1,오후,초6,,,,,기초관 - 6실,중점관 - 2실,x,x,,,
홍산초,5,6별반-2,오후,초6,,,,,놀이터 - 8실,온수업관 - 5실,x,x,,,
홍산초,5,6별반-3,오후,초6,,,,,온수업관 - 5실,온수업관 - 5실,x,x,,,
홍산초,5,3학년 1반 -1,오후,초3,,,,,미래관 - 6실,놀이터 - 2실,x,x,,,
홍산초,3,3학년 1반 -2,오후,초3,,,,,미래관 - 6실,기초관 - 2실,x,x,,,
홍산초,3,3학년 1반 3,오후,초3,,,,,미래관 - 3실,미래관 - 6실,x,x,,,
홍산초,5,4학년-1,오후,초4,,,,,행복관 - 2실,온수업관 - 5실,x,x,,,
홍산초,5,4학년-2,오후,초4,,,,,행복관 - 4실,행복관 - 2실,x,x,,,
홍산초,4,1반-1,오후,초1,,,,,온수업관 - 2실,행복관 - 3실,x,x,,,
홍산초,4,1반-2,오후,초1,,,,,온수업관 - 2실,행복관 - 3실,x,x,,,
홍산초병설유치원,4,솔향기반,오후,유치원,,,,,행복관 - 3실,온수업관 - 2실,x,x,,,
